"y","by","type","post_mean","post_prob_greater_0","cred_lower_025","cred_lower_975"
"underweight","Male","Functioning",-0.152175951765073,0.210475,-0.526007407380237,0.229527202892356
"underweight","Overall","Capabilities",-0.284375981845046,0.0326,-0.581101786714687,0.0182115906183004
"underweight","Overall","Choice",0.0340496447642215,0.812875,-0.0622161378874722,0.147953015691287
"underweight","Overall","Functioning",-0.250326337080825,0.03715,-0.51935370168546,0.0267101503210537
"wasting","Female","Capabilities",-0.112215256257606,0.265775,-0.462445496069098,0.253042909018075
"wasting","Female","Choice",0.0168661705128743,0.7722,-0.0702350973816627,0.103922669002371
"wasting","Female","Functioning",-0.0953490857447312,0.2888,-0.433462109756959,0.255944189098147
"wasting","Male","Capabilities",0.0491896561337892,0.60135,-0.325313790882541,0.425204502029629
"wasting","Male","Choice",0.0589023541993973,0.86315,-0.0448439786319224,0.236617232533989
"wasting","Male","Functioning",0.108092010333186,0.725525,-0.240834786455852,0.464992381377396
"wasting","Overall","Capabilities",-0.0400299871839201,0.37895,-0.303993157672697,0.229731019379419
"wasting","Overall","Choice",0.0304426421907875,0.8311,-0.0431770640901253,0.127116810918856
"wasting","Overall","Functioning",-0.00958734499313265,0.4651,-0.257356409138791,0.24541017531372
